Timestamp,Text,url
5:23,good morning everyone let me welcome everyone to today's criminal justice committee meeting uh this Wednesday,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
5:30,April the 5th at 10 A.M uh we're waiting for a quorum uh we'll wait a few minutes,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
5:36,and if if we don't get a quorum uh timely enough I'll start it as an,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
5:41,informational meeting so we can respect uh people's time so thank you guys for being here good morning God bless and,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
5:47,happy Easter weekend everybody yeah so what's gonna rain,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
7:13,thank you,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
7:46,Miss Carr I wanted to do roll call and uh we don't have a quan we'll start we'll start the meeting to respect,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
7:51,everyone's time roll call council member Thomas president,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
7:57,council member Moreno councilmember Morrell,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:03,councilmember Harris councilmember King,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:08,we have a quorum our first item on the agenda we have approval of the minutes of the,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:14,March 7th 2023 meeting so moved second by councilmember Mourinho,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:21,all in favor,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:27,three years no names it's approved next item is a presentation from the New,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:35,Orleans united front people's assembly crime Summit findings I want to take this opportunity,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:40,to thank the they've been crime plans everybody's been calling for Prime playing this agency that agency but,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:47,ultimately the only way crime really works is when the community is involved and has a plan so I want to thank the,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:53,united front uh for what they've been doing to meet with different uh aspects of the community to come up with their,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
8:59,own plan to help with what we're doing not just with law enforcement so that the community can be safe so I want to,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
9:05,invite Mr Parker Mr Johnson Mr Batiste Mr Crawford and any others you guys have,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
9:10,to start your presentation please,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
9:29,and if you guys for folk who may not know what the united front is if you could get give an overall view uh what,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
9:36,what is the united front why uh this initiative and um how the community was,https://www.youtube.com/watch?v=CRgme-Yh1yg&ab_channel=NewOrleansCityCouncil
